project_id,product,domain,institute,driving_model_id,experiment_id,member,model_id,version,frequency,variable,date,host
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,hfss,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,clwvi,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,hfls,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,cll,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,clm,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,evspsbl,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,hurs,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,hus850,v20140917,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,clt,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rsds,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rlds,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rsus,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rlus,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rsdt,v20131119,cordexesg.dmi.dk
cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rsut,v20131119,cordexesg.dmi.dk
